entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,TOTAL
Aguascalientes,subdel,75 años y más,202507,45,43,2,0,2,2,0,0,2
Aguascalientes,subdel,Entre 15 y 20 años,202507,48,47,1,0,1,1,0,0,1
Aguascalientes,subdel,Entre 20 y 25 años,202507,473,446,27,0,11,10,1,0,11
Aguascalientes,subdel,Entre 25 y 30 años,202507,617,573,44,0,17,16,1,0,17
Aguascalientes,subdel,Entre 30 y 35 años,202507,645,597,48,0,27,26,1,0,27
Aguascalientes,subdel,Entre 35 y 40 años,202507,504,456,48,0,25,24,1,0,25
Aguascalientes,subdel,Entre 40 y 45 años,202507,323,290,33,0,15,14,1,0,15
Aguascalientes,subdel,Entre 45 y 50 años,202507,224,210,14,0,20,20,0,0,20
Aguascalientes,subdel,Entre 50 y 55 años,202507,146,134,12,0,9,9,0,0,9
Aguascalientes,subdel,Entre 55 y 60 años,202507,88,83,5,0,8,7,1,0,8
Aguascalientes,subdel,Entre 60 y 65 años,202507,41,40,1,0,6,5,1,0,6
Aguascalientes,subdel,Entre 65 y 70 años,202507,18,18,0,0,0,0,0,0,0
Aguascalientes,subdel,Entre 70 y 75 años,202507,6,6,0,0,0,0,0,0,0
Aguascalientes,subdel,75 años y más,202507,274,255,19,0,9,9,0,0,9
Aguascalientes,subdel,Entre 15 y 20 años,202507,274,252,22,0,8,8,0,0,8
Aguascalientes,subdel,Entre 20 y 25 años,202507,1965,1780,185,0,88,84,4,0,88
Aguascalientes,subdel,Entre 25 y 30 años,202507,2015,1825,190,0,147,140,7,0,147
Aguascalientes,subdel,Entre 30 y 35 años,202507,1728,1530,198,0,163,150,13,0,163
Aguascalientes,subdel,Entre 35 y 40 años,202507,1313,1153,160,0,164,150,14,0,164
Aguascalientes,subdel,Entre 40 y 45 años,202507,868,774,94,0,108,94,14,0,108
Aguascalientes,subdel,Entre 45 y 50 años,202507,535,463,72,0,90,82,8,0,90
Aguascalientes,subdel,Entre 50 y 55 años,202507,334,305,29,0,77,75,2,0,77
Aguascalientes,subdel,Entre 55 y 60 años,202507,236,214,22,0,71,70,1,0,71
Aguascalientes,subdel,Entre 60 y 65 años,202507,175,164,11,0,45,45,0,0,45
Aguascalientes,subdel,Entre 65 y 70 años,202507,41,39,2,0,9,9,0,0,9
Aguascalientes,subdel,Entre 70 y 75 años,202507,20,19,1,0,5,5,0,0,5
Baja California,subdel,75 años y más,202507,66,62,4,0,0,0,0,0,0
Baja California,subdel,Entre 15 y 20 años,202507,61,60,1,0,1,1,0,0,1
Baja California,subdel,Entre 20 y 25 años,202507,680,649,31,0,30,29,1,0,30
Baja California,subdel,Entre 25 y 30 años,202507,939,872,67,0,50,49,1,0,50
Baja California,subdel,Entre 30 y 35 años,202507,809,712,97,0,47,45,2,0,47
Baja California,subdel,Entre 35 y 40 años,202507,626,582,44,0,57,55,2,0,57
Baja California,subdel,Entre 40 y 45 años,202507,472,422,50,0,35,34,1,0,35
Baja California,subdel,Entre 45 y 50 años,202507,302,275,27,0,25,25,0,0,25
Baja California,subdel,Entre 50 y 55 años,202507,215,196,19,0,19,17,2,0,19
Baja California,subdel,Entre 55 y 60 años,202507,100,94,6,0,14,14,0,0,14
Baja California,subdel,Entre 60 y 65 años,202507,42,40,2,0,3,3,0,0,3
Baja California,subdel,Entre 65 y 70 años,202507,11,9,2,0,0,0,0,0,0
Baja California,subdel,Entre 70 y 75 años,202507,3,3,0,0,0,0,0,0,0
Baja California,subdel,75 años y más,202507,535,484,51,0,36,36,0,0,36
Baja California,subdel,Entre 15 y 20 años,202507,608,552,56,0,37,35,2,0,37
Baja California,subdel,Entre 20 y 25 años,202507,5057,4550,507,0,512,488,24,0,512
Baja California,subdel,Entre 25 y 30 años,202507,5359,4659,700,0,641,603,38,0,641
Baja California,subdel,Entre 30 y 35 años,202507,4340,3657,683,0,625,560,65,0,625
Baja California,subdel,Entre 35 y 40 años,202507,2804,2343,461,0,480,433,47,0,480
Baja California,subdel,Entre 40 y 45 años,202507,1866,1530,336,0,391,340,51,0,391
Baja California,subdel,Entre 45 y 50 años,202507,1160,959,201,0,313,266,47,0,313
Baja California,subdel,Entre 50 y 55 años,202507,807,665,142,0,247,229,18,0,247
Baja California,subdel,Entre 55 y 60 años,202507,372,314,58,0,104,93,11,0,104
Baja California,subdel,Entre 60 y 65 años,202507,172,149,23,0,43,41,2,0,43
Baja California,subdel,Entre 65 y 70 años,202507,58,52,6,0,11,11,0,0,11
Baja California,subdel,Entre 70 y 75 años,202507,11,10,1,0,2,2,0,0,2
Baja California Sur,subdel,75 años y más,202507,24,22,2,0,0,0,0,0,0
Baja California Sur,subdel,Entre 15 y 20 años,202507,24,22,2,0,2,2,0,0,2
Baja California Sur,subdel,Entre 20 y 25 años,202507,248,223,25,0,12,12,0,0,12
Baja California Sur,subdel,Entre 25 y 30 años,202507,291,258,33,0,14,14,0,0,14
Baja California Sur,subdel,Entre 30 y 35 años,202507,275,233,42,0,13,12,1,0,13
Baja California Sur,subdel,Entre 35 y 40 años,202507,245,198,47,0,13,12,1,0,13
Baja California Sur,subdel,Entre 40 y 45 años,202507,158,132,26,0,8,8,0,0,8
Baja California Sur,subdel,Entre 45 y 50 años,202507,136,116,20,0,6,5,1,0,6
Baja California Sur,subdel,Entre 50 y 55 años,202507,58,50,8,0,5,5,0,0,5
Baja California Sur,subdel,Entre 55 y 60 años,202507,25,22,3,0,4,4,0,0,4
Baja California Sur,subdel,Entre 60 y 65 años,202507,23,21,2,0,2,2,0,0,2
Baja California Sur,subdel,Entre 65 y 70 años,202507,6,6,0,0,0,0,0,0,0
Baja California Sur,subdel,75 años y más,202507,161,147,14,0,4,4,0,0,4
Baja California Sur,subdel,Entre 15 y 20 años,202507,99,88,11,0,3,3,0,0,3
Baja California Sur,subdel,Entre 20 y 25 años,202507,885,796,89,0,76,72,4,0,76
Baja California Sur,subdel,Entre 25 y 30 años,202507,876,746,130,0,95,82,13,0,95
Baja California Sur,subdel,Entre 30 y 35 años,202507,719,603,116,0,93,84,9,0,93
Baja California Sur,subdel,Entre 35 y 40 años,202507,495,409,86,0,72,58,14,0,72
Baja California Sur,subdel,Entre 40 y 45 años,202507,331,275,56,0,43,38,5,0,43
Baja California Sur,subdel,Entre 45 y 50 años,202507,199,159,40,0,43,38,5,0,43
Baja California Sur,subdel,Entre 50 y 55 años,202507,110,91,19,0,30,27,3,0,30
Baja California Sur,subdel,Entre 55 y 60 años,202507,66,57,9,0,15,13,2,0,15
Baja California Sur,subdel,Entre 60 y 65 años,202507,28,25,3,0,8,7,1,0,8
Baja California Sur,subdel,Entre 65 y 70 años,202507,13,12,1,0,3,3,0,0,3
Campeche,subdel,75 años y más,202507,32,32,0,0,0,0,0,0,0
Campeche,subdel,Entre 15 y 20 años,202507,4,4,0,0,0,0,0,0,0
Campeche,subdel,Entre 20 y 25 años,202507,265,251,14,0,10,10,0,0,10
Campeche,subdel,Entre 25 y 30 años,202507,538,484,54,0,25,25,0,0,25
Campeche,subdel,Entre 30 y 35 años,202507,606,544,62,0,61,57,4,0,61
Campeche,subdel,Entre 35 y 40 años,202507,554,495,59,0,44,42,2,0,44
Campeche,subdel,Entre 40 y 45 años,202507,356,319,37,0,44,43,1,0,44
Campeche,subdel,Entre 45 y 50 años,202507,182,162,20,0,26,25,1,0,26
Campeche,subdel,Entre 50 y 55 años,202507,146,125,21,0,12,11,1,0,12
Campeche,subdel,Entre 55 y 60 años,202507,81,71,10,0,10,10,0,0,10
Campeche,subdel,Entre 60 y 65 años,202507,29,29,0,0,1,1,0,0,1
Campeche,subdel,Entre 65 y 70 años,202507,10,10,0,0,0,0,0,0,0
Campeche,subdel,Entre 70 y 75 años,202507,2,2,0,0,0,0,0,0,0
Campeche,subdel,75 años y más,202507,172,158,14,0,1,1,0,0,1
Campeche,subdel,Entre 15 y 20 años,202507,96,86,10,0,2,2,0,0,2
Campeche,subdel,Entre 20 y 25 años,202507,962,880,82,0,17,16,1,0,17
Campeche,subdel,Entre 25 y 30 años,202507,1196,1057,139,0,50,48,2,0,50
