entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_NB,PTPD_Puestos_M
Aguascalientes,subdel,75 años y más,202510,501,461,40,0,13,12,0,1
Aguascalientes,subdel,Entre 15 y 20 años,202510,426,378,48,0,14,13,0,1
Aguascalientes,subdel,Entre 20 y 25 años,202510,2669,2440,229,0,115,113,0,2
Aguascalientes,subdel,Entre 25 y 30 años,202510,2926,2642,284,0,165,157,0,8
Aguascalientes,subdel,Entre 30 y 35 años,202510,2612,2343,269,0,216,209,0,7
Aguascalientes,subdel,Entre 35 y 40 años,202510,2046,1819,227,0,196,190,0,6
Aguascalientes,subdel,Entre 40 y 45 años,202510,1281,1142,139,0,161,150,0,11
Aguascalientes,subdel,Entre 45 y 50 años,202510,878,780,98,0,135,126,0,9
Aguascalientes,subdel,Entre 50 y 55 años,202510,581,530,51,0,108,105,0,3
Aguascalientes,subdel,Entre 55 y 60 años,202510,379,351,28,0,75,75,0,0
Aguascalientes,subdel,Entre 60 y 65 años,202510,239,232,7,0,44,43,0,1
Aguascalientes,subdel,Entre 65 y 70 años,202510,71,69,2,0,9,9,0,0
Aguascalientes,subdel,Entre 70 y 75 años,202510,24,24,0,0,5,5,0,0
Baja California,subdel,75 años y más,202510,919,832,87,0,50,49,0,1
Baja California,subdel,Entre 15 y 20 años,202510,842,762,80,0,51,49,0,2
Baja California,subdel,Entre 20 y 25 años,202510,6161,5551,610,0,591,565,0,26
Baja California,subdel,Entre 25 y 30 años,202510,6485,5684,801,0,800,754,0,46
Baja California,subdel,Entre 30 y 35 años,202510,5304,4545,759,0,730,674,0,56
Baja California,subdel,Entre 35 y 40 años,202510,3451,2959,492,0,587,540,0,47
Baja California,subdel,Entre 40 y 45 años,202510,2452,2064,388,0,471,418,0,53
Baja California,subdel,Entre 45 y 50 años,202510,1656,1404,252,0,351,307,0,44
Baja California,subdel,Entre 50 y 55 años,202510,1168,1017,151,0,294,274,0,20
Baja California,subdel,Entre 55 y 60 años,202510,529,460,69,0,130,121,0,9
Baja California,subdel,Entre 60 y 65 años,202510,228,206,22,0,52,49,0,3
Baja California,subdel,Entre 65 y 70 años,202510,73,70,3,0,19,18,0,1
Baja California,subdel,Entre 70 y 75 años,202510,19,18,1,0,6,6,0,0
Baja California Sur,subdel,75 años y más,202510,264,240,24,0,10,10,0,0
Baja California Sur,subdel,Entre 15 y 20 años,202510,163,145,18,0,13,12,0,1
Baja California Sur,subdel,Entre 20 y 25 años,202510,1251,1128,123,0,89,88,0,1
Baja California Sur,subdel,Entre 25 y 30 años,202510,1198,1027,171,0,115,103,0,12
