entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,TOTAL
Aguascalientes,subdel,75 años y más,202509,440,407,33,0,9,9,0,0,440
Aguascalientes,subdel,Entre 15 y 20 años,202509,377,340,37,0,6,5,1,0,377
Aguascalientes,subdel,Entre 20 y 25 años,202509,2576,2337,239,0,76,73,3,0,2576
Aguascalientes,subdel,Entre 25 y 30 años,202509,2868,2594,274,0,125,122,3,0,2868
Aguascalientes,subdel,Entre 30 y 35 años,202509,2549,2295,254,0,196,193,3,0,2549
Aguascalientes,subdel,Entre 35 y 40 años,202509,1957,1740,217,0,148,143,5,0,1957
Aguascalientes,subdel,Entre 40 y 45 años,202509,1227,1101,126,0,140,129,11,0,1227
Aguascalientes,subdel,Entre 45 y 50 años,202509,818,726,92,0,116,107,9,0,818
Aguascalientes,subdel,Entre 50 y 55 años,202509,542,490,52,0,90,89,1,0,542
Aguascalientes,subdel,Entre 55 y 60 años,202509,368,340,28,0,71,70,1,0,368
Aguascalientes,subdel,Entre 60 y 65 años,202509,226,218,8,0,48,46,2,0,226
Aguascalientes,subdel,Entre 65 y 70 años,202509,67,64,3,0,8,8,0,0,67
Aguascalientes,subdel,Entre 70 y 75 años,202509,22,22,0,0,6,6,0,0,22
Baja California,subdel,75 años y más,202509,760,686,74,0,35,35,0,0,760
Baja California,subdel,Entre 15 y 20 años,202509,758,688,70,0,39,39,0,0,758
Baja California,subdel,Entre 20 y 25 años,202509,5757,5221,536,0,477,458,19,0,5757
Baja California,subdel,Entre 25 y 30 años,202509,6165,5432,733,0,676,651,25,0,6165
Baja California,subdel,Entre 30 y 35 años,202509,5098,4368,730,0,619,576,43,0,5098
Baja California,subdel,Entre 35 y 40 años,202509,3345,2868,477,0,510,477,33,0,3345
Baja California,subdel,Entre 40 y 45 años,202509,2299,1940,359,0,432,388,44,0,2299
Baja California,subdel,Entre 45 y 50 años,202509,1535,1292,243,0,325,287,38,0,1535
Baja California,subdel,Entre 50 y 55 años,202509,1082,934,148,0,267,251,16,0,1082
Baja California,subdel,Entre 55 y 60 años,202509,497,428,69,0,125,113,12,0,497
Baja California,subdel,Entre 60 y 65 años,202509,219,195,24,0,49,46,3,0,219
Baja California,subdel,Entre 65 y 70 años,202509,71,68,3,0,16,14,2,0,71
Baja California,subdel,Entre 70 y 75 años,202509,18,17,1,0,1,1,0,0,18
Baja California Sur,subdel,75 años y más,202509,238,223,15,0,7,7,0,0,238
Baja California Sur,subdel,Entre 15 y 20 años,202509,148,134,14,0,11,11,0,0,148
Baja California Sur,subdel,Entre 20 y 25 años,202509,1182,1063,119,0,66,65,1,0,1182
Baja California Sur,subdel,Entre 25 y 30 años,202509,1167,994,173,0,93,85,8,0,1167
Baja California Sur,subdel,Entre 30 y 35 años,202509,995,830,165,0,93,85,8,0,995
Baja California Sur,subdel,Entre 35 y 40 años,202509,769,626,143,0,110,99,11,0,769
Baja California Sur,subdel,Entre 40 y 45 años,202509,518,429,89,0,63,59,4,0,518
Baja California Sur,subdel,Entre 45 y 50 años,202509,357,287,70,0,62,56,6,0,357
Baja California Sur,subdel,Entre 50 y 55 años,202509,186,164,22,0,35,33,2,0,186
Baja California Sur,subdel,Entre 55 y 60 años,202509,96,85,11,0,19,16,3,0,96
Baja California Sur,subdel,Entre 60 y 65 años,202509,60,52,8,0,9,8,1,0,60
Baja California Sur,subdel,Entre 65 y 70 años,202509,13,13,0,0,2,2,0,0,13
Baja California Sur,subdel,Entre 70 y 75 años,202509,1,1,0,0,0,0,0,0,1
Campeche,subdel,75 años y más,202509,320,297,23,0,4,4,0,0,320
Campeche,subdel,Entre 15 y 20 años,202509,125,117,8,0,0,0,0,0,125
Campeche,subdel,Entre 20 y 25 años,202509,1754,1585,169,0,40,39,1,0,1754
Campeche,subdel,Entre 25 y 30 años,202509,2501,2216,285,0,104,100,4,0,2501
Campeche,subdel,Entre 30 y 35 años,202509,2487,2202,285,0,175,167,8,0,2487
Campeche,subdel,Entre 35 y 40 años,202509,2085,1831,254,0,173,163,10,0,2085
Campeche,subdel,Entre 40 y 45 años,202509,1277,1122,155,0,136,132,4,0,1277
Campeche,subdel,Entre 45 y 50 años,202509,805,714,91,0,79,75,4,0,805
Campeche,subdel,Entre 50 y 55 años,202509,570,495,75,0,74,69,5,0,570
Campeche,subdel,Entre 55 y 60 años,202509,336,293,43,0,57,54,3,0,336
Campeche,subdel,Entre 60 y 65 años,202509,111,106,5,0,13,12,1,0,111
Campeche,subdel,Entre 65 y 70 años,202509,42,40,2,0,2,2,0,0,42
Campeche,subdel,Entre 70 y 75 años,202509,15,13,2,0,1,1,0,0,15
Chiapas,subdel,75 años y más,202509,994,932,62,0,8,8,0,0,994
Chiapas,subdel,Entre 15 y 20 años,202509,248,228,20,0,12,12,0,0,248
Chiapas,subdel,Entre 20 y 25 años,202509,4807,4461,346,0,182,174,8,0,4807
Chiapas,subdel,Entre 25 y 30 años,202509,6730,6222,508,0,386,369,17,0,6730
Chiapas,subdel,Entre 30 y 35 años,202509,5703,5260,443,0,437,423,14,0,5703
Chiapas,subdel,Entre 35 y 40 años,202509,4314,3970,344,0,425,410,15,0,4314
Chiapas,subdel,Entre 40 y 45 años,202509,2698,2494,204,0,298,287,11,0,2698
Chiapas,subdel,Entre 45 y 50 años,202509,1655,1514,141,0,237,226,11,0,1655
Chiapas,subdel,Entre 50 y 55 años,202509,970,877,93,0,149,144,5,0,970
Chiapas,subdel,Entre 55 y 60 años,202509,550,500,50,0,86,84,2,0,550
Chiapas,subdel,Entre 60 y 65 años,202509,211,199,12,0,17,17,0,0,211
Chiapas,subdel,Entre 65 y 70 años,202509,70,69,1,0,6,6,0,0,70
Chiapas,subdel,Entre 70 y 75 años,202509,18,16,2,0,2,2,0,0,18
Chihuahua,subdel,75 años y más,202509,956,817,139,0,30,28,2,0,956
Chihuahua,subdel,Entre 15 y 20 años,202509,1302,1158,144,0,35,35,0,0,1302
Chihuahua,subdel,Entre 20 y 25 años,202509,8512,7185,1327,0,383,367,16,0,8512
Chihuahua,subdel,Entre 25 y 30 años,202509,9085,7475,1610,0,676,621,55,0,9085
Chihuahua,subdel,Entre 30 y 35 años,202509,8368,6840,1528,0,819,745,74,0,8368
Chihuahua,subdel,Entre 35 y 40 años,202509,5998,4828,1170,0,682,628,54,0,5998
Chihuahua,subdel,Entre 40 y 45 años,202509,4083,3352,731,0,536,473,63,0,4083
Chihuahua,subdel,Entre 45 y 50 años,202509,2797,2293,504,0,444,401,43,0,2797
Chihuahua,subdel,Entre 50 y 55 años,202509,1864,1568,296,0,341,322,19,0,1864
Chihuahua,subdel,Entre 55 y 60 años,202509,1176,1038,138,0,224,216,8,0,1176
Chihuahua,subdel,Entre 60 y 65 años,202509,539,486,53,0,84,80,4,0,539
Chihuahua,subdel,Entre 65 y 70 años,202509,206,201,5,0,34,34,0,0,206
Chihuahua,subdel,Entre 70 y 75 años,202509,26,25,1,0,4,4,0,0,26
Ciudad de México,subdel,75 años y más,202509,8845,7834,1011,0,109,104,5,0,8845
Ciudad de México,subdel,Entre 15 y 20 años,202509,1284,1147,137,0,37,37,0,0,1284
Ciudad de México,subdel,Entre 20 y 25 años,202509,32843,29418,3424,1,955,918,37,0,32843
Ciudad de México,subdel,Entre 25 y 30 años,202509,45088,40413,4675,0,2163,2065,98,0,45088
Ciudad de México,subdel,Entre 30 y 35 años,202509,46589,41886,4703,0,3267,3118,149,0,46589
