CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
8,Servicios para empresas,Aguascalientes,202508,75 años y más,,278.8,26,23,3,0,1,1,0,0
8,Servicios para empresas,Baja California,202508,75 años y más,278.8,278.8,38,37,1,0,2,1,1,0
8,Servicios para empresas,Baja California Sur,202508,75 años y más,,,22,22,0,0,0,0,0,0
8,Servicios para empresas,Campeche,202508,75 años y más,,,37,34,3,0,0,0,0,0
8,Servicios para empresas,Chiapas,202508,75 años y más,,,17,17,0,0,0,0,0,0
8,Servicios para empresas,Chihuahua,202508,75 años y más,,278.8,61,59,2,0,2,2,0,0
8,Servicios para empresas,Ciudad de México,202508,75 años y más,,278.8,120,117,3,0,6,6,0,0
8,Servicios para empresas,Coahuila de Zaragoza,202508,75 años y más,,278.8,67,65,2,0,9,9,0,0
8,Servicios para empresas,Colima,202508,75 años y más,,278.8,4,4,0,0,1,1,0,0
8,Servicios para empresas,Durango,202508,75 años y más,,,4,4,0,0,0,0,0,0
8,Servicios para empresas,Extranjero/Extranjera,202508,75 años y más,,,14,14,0,0,0,0,0,0
8,Servicios para empresas,Guanajuato,202508,75 años y más,,278.8,59,58,1,0,1,1,0,0
8,Servicios para empresas,Guerrero,202508,75 años y más,,278.8,10,10,0,0,1,1,0,0
8,Servicios para empresas,Hidalgo,202508,75 años y más,,278.8,5,4,1,0,1,1,0,0
8,Servicios para empresas,Jalisco,202508,75 años y más,,278.8,138,134,4,0,10,10,0,0
8,Servicios para empresas,México,202508,75 años y más,,278.8,46,43,3,0,2,2,0,0
8,Servicios para empresas,Michoacán de Ocampo,202508,75 años y más,,,15,15,0,0,0,0,0,0
8,Servicios para empresas,Morelos,202508,75 años y más,,,5,5,0,0,0,0,0,0
8,Servicios para empresas,Nayarit,202508,75 años y más,,278.8,109,108,1,0,8,8,0,0
8,Servicios para empresas,Nuevo León,202508,75 años y más,,,10,9,1,0,0,0,0,0
8,Servicios para empresas,Oaxaca,202508,75 años y más,,278.8,8,7,1,0,2,2,0,0
8,Servicios para empresas,Puebla,202508,75 años y más,,278.8,28,27,1,0,1,1,0,0
8,Servicios para empresas,Querétaro,202508,75 años y más,,278.8,32,31,1,0,1,1,0,0
8,Servicios para empresas,Quintana Roo,202508,75 años y más,,278.8,39,39,0,0,2,2,0,0
8,Servicios para empresas,San Luis Potosí,202508,75 años y más,,278.8,80,79,1,0,5,5,0,0
8,Servicios para empresas,Sinaloa,202508,75 años y más,,278.8,101,100,1,0,4,4,0,0
8,Servicios para empresas,Sonora,202508,75 años y más,,278.8,82,80,2,0,3,3,0,0
8,Servicios para empresas,Tabasco,202508,75 años y más,,,9,9,0,0,0,0,0,0
8,Servicios para empresas,Tamaulipas,202508,75 años y más,,278.8,14,14,0,0,1,1,0,0
8,Servicios para empresas,Tlaxcala,202508,75 años y más,,,6,6,0,0,0,0,0,0
8,Servicios para empresas,Veracruz,202508,75 años y más,,278.8,69,62,7,0,3,3,0,0
8,Servicios para empresas,Yucatán,202508,75 años y más,,278.8,60,56,4,0,1,1,0,0
8,Servicios para empresas,Zacatecas,202508,75 años y más,,,6,6,0,0,0,0,0,0
8,Servicios para empresas,Aguascalientes,202508,Entre 15 y 20 años,,278.8,19,19,0,0,2,2,0,0
8,Servicios para empresas,Baja California,202508,Entre 15 y 20 años,,278.8,32,30,2,0,1,1,0,0
8,Servicios para empresas,Baja California Sur,202508,Entre 15 y 20 años,,278.8,18,17,1,0,2,2,0,0
8,Servicios para empresas,Campeche,202508,Entre 15 y 20 años,,,7,7,0,0,0,0,0,0
8,Servicios para empresas,Chiapas,202508,Entre 15 y 20 años,,278.8,12,12,0,0,1,1,0,0
8,Servicios para empresas,Chihuahua,202508,Entre 15 y 20 años,,278.8,99,95,4,0,7,7,0,0
8,Servicios para empresas,Ciudad de México,202508,Entre 15 y 20 años,,278.8,40,39,1,0,2,2,0,0
8,Servicios para empresas,Coahuila de Zaragoza,202508,Entre 15 y 20 años,,278.8,90,87,3,0,5,5,0,0
8,Servicios para empresas,Colima,202508,Entre 15 y 20 años,,,2,2,0,0,0,0,0,0
8,Servicios para empresas,Durango,202508,Entre 15 y 20 años,,,9,9,0,0,0,0,0,0
8,Servicios para empresas,Guanajuato,202508,Entre 15 y 20 años,,,47,47,0,0,0,0,0,0
8,Servicios para empresas,Guerrero,202508,Entre 15 y 20 años,,,6,6,0,0,0,0,0,0
8,Servicios para empresas,Hidalgo,202508,Entre 15 y 20 años,,,2,2,0,0,0,0,0,0
8,Servicios para empresas,Jalisco,202508,Entre 15 y 20 años,,278.8,99,99,0,0,6,6,0,0
8,Servicios para empresas,México,202508,Entre 15 y 20 años,,,18,18,0,0,0,0,0,0
8,Servicios para empresas,Michoacán de Ocampo,202508,Entre 15 y 20 años,,,6,6,0,0,0,0,0,0
8,Servicios para empresas,Morelos,202508,Entre 15 y 20 años,,,5,5,0,0,0,0,0,0
8,Servicios para empresas,Nayarit,202508,Entre 15 y 20 años,,278.8,31,31,0,0,3,3,0,0
8,Servicios para empresas,Nuevo León,202508,Entre 15 y 20 años,,,16,16,0,0,0,0,0,0
8,Servicios para empresas,Oaxaca,202508,Entre 15 y 20 años,,,5,5,0,0,0,0,0,0
8,Servicios para empresas,Puebla,202508,Entre 15 y 20 años,,,20,19,1,0,0,0,0,0
8,Servicios para empresas,Querétaro,202508,Entre 15 y 20 años,,278.8,22,22,0,0,1,1,0,0
8,Servicios para empresas,Quintana Roo,202508,Entre 15 y 20 años,,278.8,31,30,1,0,1,1,0,0
8,Servicios para empresas,San Luis Potosí,202508,Entre 15 y 20 años,,278.8,55,53,2,0,1,1,0,0
8,Servicios para empresas,Sinaloa,202508,Entre 15 y 20 años,278.8,278.8,70,67,3,0,5,4,1,0
8,Servicios para empresas,Sonora,202508,Entre 15 y 20 años,,278.8,58,56,2,0,4,4,0,0
8,Servicios para empresas,Tabasco,202508,Entre 15 y 20 años,,,13,13,0,0,0,0,0,0
8,Servicios para empresas,Tamaulipas,202508,Entre 15 y 20 años,,,10,9,1,0,0,0,0,0
8,Servicios para empresas,Veracruz,202508,Entre 15 y 20 años,,278.8,36,36,0,0,1,1,0,0
8,Servicios para empresas,Yucatán,202508,Entre 15 y 20 años,,,27,27,0,0,0,0,0,0
8,Servicios para empresas,Zacatecas,202508,Entre 15 y 20 años,,,1,1,0,0,0,0,0,0
8,Servicios para empresas,Aguascalientes,202508,Entre 20 y 25 años,278.8,278.8,292,273,19,0,11,8,3,0
8,Servicios para empresas,Baja California,202508,Entre 20 y 25 años,,278.8,352,341,11,0,23,23,0,0
8,Servicios para empresas,Baja California Sur,202508,Entre 20 y 25 años,,278.8,225,201,24,0,10,10,0,0
8,Servicios para empresas,Campeche,202508,Entre 20 y 25 años,,278.8,252,232,20,0,15,15,0,0
8,Servicios para empresas,Chiapas,202508,Entre 20 y 25 años,,278.8,221,212,9,0,11,11,0,0
8,Servicios para empresas,Chihuahua,202508,Entre 20 y 25 años,278.8,278.8,1038,943,95,0,36,35,1,0
8,Servicios para empresas,Ciudad de México,202508,Entre 20 y 25 años,,278.8,1057,1027,30,0,35,35,0,0
8,Servicios para empresas,Coahuila de Zaragoza,202508,Entre 20 y 25 años,278.8,278.8,1191,1130,61,0,145,142,3,0
8,Servicios para empresas,Colima,202508,Entre 20 y 25 años,,,26,25,1,0,0,0,0,0
8,Servicios para empresas,Durango,202508,Entre 20 y 25 años,,278.8,81,77,4,0,4,4,0,0
8,Servicios para empresas,Extranjero/Extranjera,202508,Entre 20 y 25 años,,,74,70,4,0,0,0,0,0
8,Servicios para empresas,Guanajuato,202508,Entre 20 y 25 años,,278.8,603,589,14,0,16,16,0,0
8,Servicios para empresas,Guerrero,202508,Entre 20 y 25 años,,278.8,141,137,4,0,12,12,0,0
8,Servicios para empresas,Hidalgo,202508,Entre 20 y 25 años,,,48,47,1,0,0,0,0,0
8,Servicios para empresas,Jalisco,202508,Entre 20 y 25 años,,278.8,1232,1184,48,0,85,85,0,0
8,Servicios para empresas,México,202508,Entre 20 y 25 años,278.8,278.8,547,530,17,0,18,16,2,0
8,Servicios para empresas,Michoacán de Ocampo,202508,Entre 20 y 25 años,,278.8,200,190,10,0,10,10,0,0
8,Servicios para empresas,Morelos,202508,Entre 20 y 25 años,,278.8,62,59,3,0,2,2,0,0
8,Servicios para empresas,Nayarit,202508,Entre 20 y 25 años,278.8,278.8,664,639,25,0,74,73,1,0
8,Servicios para empresas,Nuevo León,202508,Entre 20 y 25 años,,278.8,210,206,4,0,11,11,0,0
8,Servicios para empresas,Oaxaca,202508,Entre 20 y 25 años,,278.8,133,129,4,0,7,7,0,0
8,Servicios para empresas,Puebla,202508,Entre 20 y 25 años,,278.8,296,286,10,0,8,8,0,0
8,Servicios para empresas,Querétaro,202508,Entre 20 y 25 años,,278.8,317,307,10,0,18,18,0,0
8,Servicios para empresas,Quintana Roo,202508,Entre 20 y 25 años,,278.8,328,316,12,0,10,10,0,0
8,Servicios para empresas,San Luis Potosí,202508,Entre 20 y 25 años,278.8,278.8,822,765,57,0,53,51,2,0
8,Servicios para empresas,Sinaloa,202508,Entre 20 y 25 años,,278.8,999,955,44,0,54,54,0,0
8,Servicios para empresas,Sonora,202508,Entre 20 y 25 años,278.8,278.8,859,810,49,0,67,64,3,0
