CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
8,Servicios para empresas,Aguascalientes,202507,75 años y más,,378.925,45,43,2,0,2,2,0,0
8,Servicios para empresas,Aguascalientes,202507,Entre 15 y 20 años,,278.8,48,47,1,0,1,1,0,0
8,Servicios para empresas,Aguascalientes,202507,Entre 20 y 25 años,278.8,291.45,473,446,27,0,11,10,1,0
8,Servicios para empresas,Aguascalientes,202507,Entre 25 y 30 años,278.8,310.941875,617,573,44,0,17,16,1,0
8,Servicios para empresas,Aguascalientes,202507,Entre 30 y 35 años,278.8,306.99,645,597,48,0,27,26,1,0
8,Servicios para empresas,Aguascalientes,202507,Entre 35 y 40 años,278.8,288.78125,504,456,48,0,25,24,1,0
8,Servicios para empresas,Aguascalientes,202507,Entre 40 y 45 años,278.8,308.767857143,323,290,33,0,15,14,1,0
8,Servicios para empresas,Aguascalientes,202507,Entre 45 y 50 años,,278.8,224,210,14,0,20,20,0,0
8,Servicios para empresas,Aguascalientes,202507,Entre 50 y 55 años,,278.8,146,134,12,0,9,9,0,0
8,Servicios para empresas,Aguascalientes,202507,Entre 55 y 60 años,278.8,278.8,88,83,5,0,8,7,1,0
8,Servicios para empresas,Aguascalientes,202507,Entre 60 y 65 años,352.21,278.8,41,40,1,0,6,5,1,0
8,Servicios para empresas,Aguascalientes,202507,Entre 65 y 70 años,,,18,18,0,0,0,0,0,0
8,Servicios para empresas,Aguascalientes,202507,Entre 70 y 75 años,,,6,6,0,0,0,0,0,0
7,Transportes y comunicaciones,Aguascalientes,202507,75 años y más,,344.52,274,255,19,0,9,9,0,0
7,Transportes y comunicaciones,Aguascalientes,202507,Entre 15 y 20 años,,366.38125,274,252,22,0,8,8,0,0
7,Transportes y comunicaciones,Aguascalientes,202507,Entre 20 y 25 años,292.5475,371.714285714,1965,1780,185,0,88,84,4,0
7,Transportes y comunicaciones,Aguascalientes,202507,Entre 25 y 30 años,321.887142857,357.616428571,2015,1825,190,0,147,140,7,0
7,Transportes y comunicaciones,Aguascalientes,202507,Entre 30 y 35 años,334.712307692,379.233533333,1728,1530,198,0,163,150,13,0
7,Transportes y comunicaciones,Aguascalientes,202507,Entre 35 y 40 años,328.389285714,372.999466667,1313,1153,160,0,164,150,14,0
7,Transportes y comunicaciones,Aguascalientes,202507,Entre 40 y 45 años,364.340714286,398.151170213,868,774,94,0,108,94,14,0
