CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Aguascalientes,202510,75 años y más,285.76,432.3575,501,461,40,0,13,12,1,0
7,Transportes y comunicaciones,Aguascalientes,202510,Entre 15 y 20 años,372.12,360.582307692,426,378,48,0,14,13,1,0
7,Transportes y comunicaciones,Aguascalientes,202510,Entre 20 y 25 años,289.55,349.069646018,2669,2440,229,0,115,113,2,0
7,Transportes y comunicaciones,Aguascalientes,202510,Entre 25 y 30 años,365.425,362.540445860,2926,2642,284,0,165,157,8,0
7,Transportes y comunicaciones,Aguascalientes,202510,Entre 30 y 35 años,331.892857143,365.013444976,2612,2343,269,0,216,209,7,0
7,Transportes y comunicaciones,Aguascalientes,202510,Entre 35 y 40 años,330.781666667,377.508210526,2046,1819,227,0,196,190,6,0
7,Transportes y comunicaciones,Aguascalientes,202510,Entre 40 y 45 años,355.067272727,380.486333333,1281,1142,139,0,161,150,11,0
7,Transportes y comunicaciones,Aguascalientes,202510,Entre 45 y 50 años,336.913333333,376.489920635,878,780,98,0,135,126,9,0
7,Transportes y comunicaciones,Aguascalientes,202510,Entre 50 y 55 años,335.1,382.343714286,581,530,51,0,108,105,3,0
7,Transportes y comunicaciones,Aguascalientes,202510,Entre 55 y 60 años,,396.637733333,379,351,28,0,75,75,0,0
7,Transportes y comunicaciones,Aguascalientes,202510,Entre 60 y 65 años,457.13,387.71,239,232,7,0,44,43,1,0
7,Transportes y comunicaciones,Aguascalientes,202510,Entre 65 y 70 años,,364.343333333,71,69,2,0,9,9,0,0
7,Transportes y comunicaciones,Aguascalientes,202510,Entre 70 y 75 años,,342.12,24,24,0,0,5,5,0,0
7,Transportes y comunicaciones,Baja California,202510,75 años y más,278.8,392.780612245,919,832,87,0,50,49,1,0
7,Transportes y comunicaciones,Baja California,202510,Entre 15 y 20 años,420.13,386.695306122,842,762,80,0,51,49,2,0
7,Transportes y comunicaciones,Baja California,202510,Entre 20 y 25 años,398.650769231,388.443663717,6161,5551,610,0,591,565,26,0
7,Transportes y comunicaciones,Baja California,202510,Entre 25 y 30 años,383.506304348,393.718103448,6485,5684,801,0,800,754,46,0
7,Transportes y comunicaciones,Baja California,202510,Entre 30 y 35 años,362.986428571,413.826973294,5304,4545,759,0,730,674,56,0
7,Transportes y comunicaciones,Baja California,202510,Entre 35 y 40 años,372.636808511,414.931648148,3451,2959,492,0,587,540,47,0
7,Transportes y comunicaciones,Baja California,202510,Entre 40 y 45 años,403.958301887,420.781435407,2452,2064,388,0,471,418,53,0
7,Transportes y comunicaciones,Baja California,202510,Entre 45 y 50 años,392.461590909,419.557100977,1656,1404,252,0,351,307,44,0
