CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Aguascalientes,202509,75 años y más,,392.292222222,440,407,33,0,9,9,0,0
7,Transportes y comunicaciones,Aguascalientes,202509,Entre 15 y 20 años,292.54,325.03,377,340,37,0,6,5,1,0
7,Transportes y comunicaciones,Aguascalientes,202509,Entre 20 y 25 años,318.62,350.337671233,2576,2337,239,0,76,73,3,0
7,Transportes y comunicaciones,Aguascalientes,202509,Entre 25 y 30 años,288.886666667,358.318114754,2868,2594,274,0,125,122,3,0
7,Transportes y comunicaciones,Aguascalientes,202509,Entre 30 y 35 años,350.316666667,368.634300518,2549,2295,254,0,196,193,3,0
7,Transportes y comunicaciones,Aguascalientes,202509,Entre 35 y 40 años,382.438,368.248671329,1957,1740,217,0,148,143,5,0
7,Transportes y comunicaciones,Aguascalientes,202509,Entre 40 y 45 años,360.48,378.871782946,1227,1101,126,0,140,129,11,0
7,Transportes y comunicaciones,Aguascalientes,202509,Entre 45 y 50 años,306.214444444,387.988411215,818,726,92,0,116,107,9,0
7,Transportes y comunicaciones,Aguascalientes,202509,Entre 50 y 55 años,344.77,385.088202247,542,490,52,0,90,89,1,0
7,Transportes y comunicaciones,Aguascalientes,202509,Entre 55 y 60 años,278.8,379.153,368,340,28,0,71,70,1,0
7,Transportes y comunicaciones,Aguascalientes,202509,Entre 60 y 65 años,341.555,383.438478261,226,218,8,0,48,46,2,0
7,Transportes y comunicaciones,Aguascalientes,202509,Entre 65 y 70 años,,378.9675,67,64,3,0,8,8,0,0
7,Transportes y comunicaciones,Aguascalientes,202509,Entre 70 y 75 años,,348.39,22,22,0,0,6,6,0,0
7,Transportes y comunicaciones,Baja California,202509,75 años y más,,400.186285714,760,686,74,0,35,35,0,0
7,Transportes y comunicaciones,Baja California,202509,Entre 15 y 20 años,,400.720769231,758,688,70,0,39,39,0,0
7,Transportes y comunicaciones,Baja California,202509,Entre 20 y 25 años,392.214736842,397.292358079,5757,5221,536,0,477,458,19,0
7,Transportes y comunicaciones,Baja California,202509,Entre 25 y 30 años,407.2672,388.789508449,6165,5432,733,0,676,651,25,0
7,Transportes y comunicaciones,Baja California,202509,Entre 30 y 35 años,370.625348837,408.843541667,5098,4368,730,0,619,576,43,0
7,Transportes y comunicaciones,Baja California,202509,Entre 35 y 40 años,416.423636364,414.830209644,3345,2868,477,0,510,477,33,0
7,Transportes y comunicaciones,Baja California,202509,Entre 40 y 45 años,405.604545455,409.633711340,2299,1940,359,0,432,388,44,0
7,Transportes y comunicaciones,Baja California,202509,Entre 45 y 50 años,402.403947368,414.125087108,1535,1292,243,0,325,287,38,0
7,Transportes y comunicaciones,Baja California,202509,Entre 50 y 55 años,406.336875,407.504382470,1082,934,148,0,267,251,16,0
7,Transportes y comunicaciones,Baja California,202509,Entre 55 y 60 años,360.863333333,397.852920354,497,428,69,0,125,113,12,0
7,Transportes y comunicaciones,Baja California,202509,Entre 60 y 65 años,402.396666667,363.276086957,219,195,24,0,49,46,3,0
7,Transportes y comunicaciones,Baja California,202509,Entre 65 y 70 años,322.385,411.151428571,71,68,3,0,16,14,2,0
7,Transportes y comunicaciones,Baja California,202509,Entre 70 y 75 años,,381.59,18,17,1,0,1,1,0,0
7,Transportes y comunicaciones,Baja California Sur,202509,75 años y más,,419.614285714,238,223,15,0,7,7,0,0
7,Transportes y comunicaciones,Baja California Sur,202509,Entre 15 y 20 años,,347.892727273,148,134,14,0,11,11,0,0
7,Transportes y comunicaciones,Baja California Sur,202509,Entre 20 y 25 años,529,360.126,1182,1063,119,0,66,65,1,0
7,Transportes y comunicaciones,Baja California Sur,202509,Entre 25 y 30 años,372,375.788117647,1167,994,173,0,93,85,8,0
7,Transportes y comunicaciones,Baja California Sur,202509,Entre 30 y 35 años,325.9375,374.208588235,995,830,165,0,93,85,8,0
7,Transportes y comunicaciones,Baja California Sur,202509,Entre 35 y 40 años,359.472727273,371.356060606,769,626,143,0,110,99,11,0
7,Transportes y comunicaciones,Baja California Sur,202509,Entre 40 y 45 años,373.425,379.166949153,518,429,89,0,63,59,4,0
7,Transportes y comunicaciones,Baja California Sur,202509,Entre 45 y 50 años,307.151666667,397.77,357,287,70,0,62,56,6,0
7,Transportes y comunicaciones,Baja California Sur,202509,Entre 50 y 55 años,383.255,403.031818182,186,164,22,0,35,33,2,0
7,Transportes y comunicaciones,Baja California Sur,202509,Entre 55 y 60 años,334.043333333,383.788125,96,85,11,0,19,16,3,0
7,Transportes y comunicaciones,Baja California Sur,202509,Entre 60 y 65 años,278.8,406.05375,60,52,8,0,9,8,1,0
7,Transportes y comunicaciones,Baja California Sur,202509,Entre 65 y 70 años,,305.055,13,13,0,0,2,2,0,0
7,Transportes y comunicaciones,Baja California Sur,202509,Entre 70 y 75 años,,,1,1,0,0,0,0,0,0
